group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
41,41,"[('green', 0.08675130208333333), ('iron', 0.0695037841796875), ('banana', 0.0653076171875), ('halved', 0.0653076171875), ('yellow', 0.0653076171875), ('ripe', 0.06331380208333333), ('bunch', 0.06331380208333333), ('vertical', 0.06270345052083333)]","[('yellow bananas', 0.06368001302083333), ('bunch bananas bunch', 0.06331380208333333), ('ripe bananas', 0.06331380208333333), ('famous double', 0.06270345052083333), ('vertical spiral staircase vatican february', 0.06270345052083333), ('banana bunch', 0.061197916666666664), ('plantains plantain green bananas', 0.060953776041666664), ('spiral staircase', 0.0606689453125)]"
86,86,"[('brown', 0.09044348675271739), ('coat', 0.07534391983695653), ('texture', 0.06651505180027174), ('face', 0.06352167544157608), ('pear', 0.060822860054347824), ('fruit', 0.05361540421195652), ('leather', 0.050898012907608696), ('soft', 0.049836531929347824)]","[('holstein dairy cow', 0.04018766983695652), ('plant bug damage', 0.035474694293478264), ('sunken dimple', 0.035474694293478264), ('pink leather texture', 0.035219938858695655), ('faux leather', 0.034880264945652176), ('brown bomber dog coat', 0.034880264945652176), ('purple elegant skirt', 0.03343665081521739), ('notable curculio damage', 0.03311820652173913)]"
140,140,"[('antique', 0.22992882361778846), ('cabinet', 0.15660212590144232), ('library', 0.1542076697716346), ('handle', 0.1542076697716346), ('wooden', 0.1542076697716346), ('style', 0.1542076697716346), ('drawer', 0.0936420147235577), ('piano', 0.07416240985576923)]","[('wooden antique style library cabinet', 0.1542076697716346), ('player piano', 0.06954251802884616), ('antique drawer', 0.05198317307692308), ('antique piano ac piano crop', 0.04657451923076923), ('facial muscles', 0.042630709134615384), ('caramel dog', 0.042630709134615384), ('chinese painting', 0.037916917067307696), ('lime case', 0.037916917067307696)]"
155,155,"[('black', 0.10577973865327381), ('plate', 0.05694580078125), ('eye', 0.05480375744047619), ('middle', 0.05292619977678571), ('red', 0.050356910342261904), ('mirror', 0.04678490048363095), ('foto', 0.04514276413690476), ('white', 0.04223051525297619)]","[('red cross', 0.03331938244047619), ('silver details', 0.03331938244047619), ('green flag', 0.03331938244047619), ('week procession spain', 0.03308686755952381), ('black brown', 0.027739025297619048), ('brown stains', 0.027739025297619048), ('horse head', 0.027250744047619048), ('rider hand', 0.027250744047619048)]"
161,161,"[('web', 0.037690944018022296), ('head', 0.025308484228971962), ('green', 0.02360624984788746), ('grass', 0.02349508885653962), ('little', 0.01732390691929517), ('dog', 0.017194991542542833), ('gray', 0.016136811158367407), ('field', 0.015778823805003894)]","[('hard quiz', 0.012366369134540499), ('pretty little liars', 0.012366369134540499), ('ups thumb', 0.012366369134540499), ('egret web', 0.010286753051377532), ('gray ratsnakes head', 0.00868182316004673), ('green grass', 0.005811934901917835), ('copy space', 0.005747192002531152), ('austin tx web', 0.004974697980553933)]"
221,221,"[('grass', 0.20419545076331314), ('green', 0.18827414999202807), ('web', 0.09202809236487564), ('black', 0.08777976522640306), ('field', 0.0741525766800861), ('line', 0.06360735212053571), ('soccer', 0.05461416439134247), ('dog', 0.05452432437818878)]","[('green grass', 0.07078521105707908), ('grass web', 0.04866058972417092), ('grass transparent stickpng', 0.03463807397959184), ('soccer ball', 0.03167600047831633), ('grass web site', 0.027729890784438774), ('matt jones', 0.02394072863520408), ('green grass panorama', 0.02394072863520408), ('megapixel high width panorama', 0.02394072863520408)]"
260,260,"[('key', 0.09903658353365384), ('setting', 0.07574932391826923), ('book', 0.06903545673076923), ('eye', 0.06899789663461539), ('apartment', 0.06899789663461539), ('dog', 0.06899789663461539), ('hair', 0.06899789663461539), ('animal', 0.06899789663461539)]","[('brown hair animal', 0.06899789663461539), ('cocker spaniel dog pet', 0.06899789663461539), ('indoor setting', 0.06899789663461539), ('cocker spaniel dog', 0.05878155048076923), ('brown eyes', 0.05806790865384615), ('doxie mix dogs', 0.05806790865384615), ('large images', 0.05690354567307692), ('adjustable mechanical switch underneath', 0.05576735276442308)]"
291,291,"[('red', 0.09720802307128906), ('curtain', 0.08444404602050781), ('velvet', 0.06649971008300781), ('silk', 0.0610809326171875), ('dress', 0.060710906982421875), ('shiny', 0.0583648681640625), ('skirt', 0.05621337890625), ('academic', 0.053863525390625)]","[('azra jafari', 0.048858642578125), ('academic dress', 0.0384521484375), ('red taffeta silk fabric', 0.03668212890625), ('red velvet drapes curtain', 0.0352783203125), ('red navy', 0.0328369140625), ('blue suzani', 0.0328369140625), ('pink taffeta fabric', 0.0325927734375), ('red gold colour', 0.032196044921875)]"
310,310,"[('grass', 0.1343679717092803), ('nest', 0.07660836884469698), ('egg', 0.075927734375), ('obscured', 0.06050988399621212), ('leaf', 0.05806847774621212), ('carex', 0.057010535037878785), ('eye', 0.05521277225378788), ('chionochloa', 0.05385890151515151)]","[('possible brown rabbit', 0.03708718039772727), ('visible eye', 0.03708718039772727), ('american bittern botaurus lentiginosus', 0.027432528409090908), ('cattail marsh melbourne florida', 0.027432528409090908), ('sun grass', 0.021558357007575756), ('female mantis', 0.021558357007575756), ('copy space', 0.02061138731060606), ('brown leaves', 0.020137902462121212)]"
313,313,"[('black', 0.06683400472005209), ('texture', 0.056971232096354164), ('carpet', 0.05280863444010417), ('swatch', 0.05280863444010417), ('green', 0.04892578125), ('classic', 0.047381591796875), ('iii', 0.0465301513671875), ('face', 0.044022623697916666)]","[('classic iii', 0.042958577473958336), ('sandy hollow', 0.042958577473958336), ('black whippet', 0.027180989583333332), ('winter jacket', 0.027180989583333332), ('orange ball', 0.027180989583333332), ('carpet muffin swatch', 0.026057942708333334), ('true relgion jeans', 0.023486328125), ('rear end', 0.023486328125)]"
357,357,"[('green', 0.22571355646306818), ('purple', 0.10395951704545454), ('leaf', 0.09142511541193182), ('head', 0.08017800071022728), ('vegetable', 0.07791415127840909), ('white', 0.06838711825284091), ('thick', 0.06797096946022728), ('foto', 0.06653941761363637)]","[('audubon hummingbirds', 0.04150390625), ('powdery mildew', 0.04110440340909091), ('grape leaf', 0.04110440340909091), ('viticulture examples', 0.040815873579545456), ('grape leaf nutrient deficiency', 0.04079367897727273), ('purple broccoli organic heirloom', 0.040593927556818184), ('watermelon leaf', 0.03786399147727273), ('spider mites', 0.03786399147727273)]"
358,358,"[('hair', 0.128887939453125), ('blue', 0.1139739990234375), ('terrier', 0.1034912109375), ('fur', 0.097900390625), ('texture', 0.08228759765625), ('eye', 0.0744873046875), ('piece', 0.0660400390625), ('head', 0.062841796875)]","[('carpet soot swatch', 0.053680419921875), ('shaggy dogs', 0.053076171875), ('various hair colors', 0.0490966796875), ('white castle cheeseburger', 0.0459716796875), ('creattiva capelli', 0.04184036254882813), ('traditional cheeseburger', 0.0412109375), ('frech fries', 0.0412109375), ('black dog griffon bruxellois', 0.0398193359375)]"
377,377,"[('black', 0.056666324013157895), ('edge', 0.042943050986842105), ('car', 0.036890933388157895), ('light', 0.03469045538651316), ('cabinet', 0.03448807565789474), ('accent', 0.03431460731907895), ('grey', 0.03311960320723684), ('green', 0.03252210115131579)]","[('red accents', 0.026084498355263157), ('grey car bonnet', 0.026084498355263157), ('treasure ship', 0.024786698190789474), ('turkey quills', 0.02115028782894737), ('pink craft feathers indian dress costume', 0.02115028782894737), ('double bass', 0.021111739309210526), ('traditional limo', 0.020482113486842105), ('indy chicken limo', 0.020482113486842105)]"
441,441,"[('composite', 0.09306196732954546), ('bread', 0.08558238636363637), ('baguette', 0.08558238636363637), ('french', 0.08558238636363637), ('top', 0.08225319602272728), ('shovel', 0.08107688210227272), ('gebrochen', 0.08012251420454546), ('stick', 0.06612881747159091)]","[('french bread baguette', 0.08558238636363637), ('french bread top', 0.08225319602272728), ('baguette gebrochen', 0.08012251420454546), ('french bread', 0.07927911931818182), ('ihurl green hurleys composite hurls', 0.05872691761363636), ('item shovel', 0.057794744318181816), ('item maple', 0.04709694602272727), ('wooden ladle', 0.041215376420454544)]"
459,459,"[('elephant', 0.05751665900735294), ('top', 0.042040656594669115), ('swatch', 0.04137106502757353), ('dress', 0.03827622357536765), ('asian', 0.03791360294117647), ('brown', 0.03688767377068015), ('indian', 0.03533576516544118), ('foot', 0.034926470588235295)]","[('large images', 0.02765969669117647), ('national zoo elephant', 0.025404986213235295), ('fine art', 0.025404986213235295), ('asian elephant abstract', 0.02490234375), ('cavalier king charles dog', 0.024744370404411766), ('indian elephant', 0.024658203125), ('asian elephant headselective', 0.024658203125), ('asian elephant', 0.024500229779411766)]"
